match_id;bachelor01_university;bachelor01_university_standardiz;bachelor01_degree;bachelor01_degree_standardized;bachelor01_major;bachelor01_major_standardized;bachelor02_university;bachelor02_university_standardiz;bachelor02_degree;bachelor02_degree_standardized;bachelor02_major;bachelor02_major_standardized;master01_university;master01_university_standardized;master01_degree;master01_degreestandadized;master01_major;master01_major_standardized;master02_university;master02_university_standardized;master02_degree;master02_degree_standardized;master02_major;master02_major_standardized;mba01_university;mba01_university_standardized;mba01_degree;mba01_degree_standardized;mba02_university;mba02_university_standardized;mba02_degree;mba02_degree_standardized;phd01_university;phd01_university_standardized;phd01_degree;phd01_degree_standardized;phd01_major;phd01_major_standardized;phd02_university;phd02_university_standardized;phd02_degree;phd02_degree_standardized;phd02_major;phd02_major_standardized;jd01_university;jd01_university_standardized;jd01_degree;jd01_degree_standardized
41288;Marquette University;Marquette University;BA;Bachelor;Finance;Finance & Accounting;;;;;;;;;;;;;;;;;;;Kellogg School of Management, Northwestern University;Northwestern University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
12717;Georgetown University;Georgetown University;AB;Bachelor;Classical Studies;Other;;;;;.;.;;;;;;;;;;;.;.;;;;;;;;;;;;;.;.;;;;;.;.;Northwestern University;Northwestern University;JD;JD
4499;Indian Institute of Technology, Banaras Hindu University (IIT-BHU);Other;BTEC;Bachelor;Electrical Engineering;Engineering;;;;;;;;;;;;;;;;;;;Kellogg School of Management, Northwestern University;Northwestern University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
40475;Indian Institute of Science (IISc);Other;BSc;Bachelor;Electrical Engineering;Engineering;;;;;.;.;University of California, San Diego (UCSD);University of California at San Diego;MS;Master;Electrical Engineering;Engineering;;;;;.;.;;;;;;;;;;;;;.;.;;;;;.;.;;;;
41058;Massachusetts Institute of Technology (MIT);Massachusetts Institute of Technology;SB;Bachelor;Electrical Engineering;Engineering;;;;;;;Stanford University;Stanford University;MSEE;Master;;Engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42764;College of Business Administration, California State University;California State University;BS;Bachelor;Finance;Finance & Accounting;;;;;;;;;;;;;;;;;;;University of Southern California Marshall School of Business;University of Southern California;MBA;MBA;;;;;;;;;;;;;;;;;;;;
40483;;;;;;;;;;;;;University of Oklahoma;University of Oklahoma;MS;Master;Computer Science;Computer Science;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22656;Providence College;Providence College;BA;Bachelor;Math/Computer Science;Mathematics;;;;;.;.;;;;;;;;;;;.;.;;;;;;;;;;;;;.;.;;;;;.;.;;;;
43321;Eastern Illinois University;Eastern Illinois University;BS;Bachelor;Information Technology;Computer Science;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40466;University of Texas at Austin;University of Texas at Austin;BS;Bachelor;Electrical Engineering;Engineering;;;;;;;University of Illinois at Urbana-Champaign;University of Illinois at Urbana-Champaign;MS;Master;Computer Science;Computer Science;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47152;Stockholm School of Economics;Stockholm School of Economics;BS;Bachelor;.;.;;;;;.;.;Carnegie Mellon University Graduate School of Industrial Administration;Carnegie Mellon University;MS;Master;;.;;;;;.;.;;;;;;;;;;;;;.;.;;;;;.;.;;;;
47198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42774;KUL in Leuven;Leuven;Bachelor;Bachelor;Marketing Management;Other Business Administration;;;;;.;.;;;;;.;.;;;;;.;.;;;;;;;;;;;;;.;.;;;;;.;.;;;;
47116;Massachusetts Institute of Technology (MIT);Massachusetts Institute of Technology;BSc;Bachelor;Mathematics with Computer Science;Mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43862;;;;;;;;;;;;;Institut d'Etudes Politiques de Paris;Sciences Po;Diploma;Master;Finance and Taxation;Finance & Accounting;;;;;;;New York University;New York University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
41101;Indian Institute of Technology (IIT) Bombay;Indian Institute of Technology Bombay;BTech;Bachelor;Electrical Engineering;Engineering;;;;;;;Indian Institute of Technology (IIT) Bombay;Indian Institute of Technology Bombay;Masters Degree;Master;Electrical Engineering;Engineering;;;;;;;;;;;;;;;University of Texas at Austin;University of Texas at Austin;PhD;PhD;Electrical Engineering and Computer Science;Engineering;;;;;;;;;;
43103;Bates College;Bates College;BA;Bachelor;;;;;;;;;;;;;;;;;;;;;Columbia University;Columbia University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
40490;Stanford University;Stanford University;BA;Bachelor;Economics;Economics;;;;;;;Stanford University;Stanford University;MS IE;Master;Industrial Engineering;Engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42763;University of Delaware;University of Delaware;BA;Bachelor;History;Social Science;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Delaware Law School;Widener University;JD;JD
43790;Indiana University of Pennsylvania;Indiana University of Pennsylvania;BS;Bachelor;Mathematics;Mathematics;;;;;;;American University;American University;MS;Master;Technology Management;Other Business Administration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41348;Baruch College, City University of New York (CUNY);City College of New York;BBA;Bachelor;Economics;Economics;;;;;.;.;;;;;.;.;;;;;.;.;New York University - Leonard N. Stern School of Business;New York University;MBA;MBA;;;;;;;;;.;.;;;;;.;.;;;;
11513;Cornell University;Cornell University;BS;Bachelor;Industrial Engineering and Operations Research;Engineering;;;;;;;;;;;;;;;;;;;Cornell University;Cornell University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
43850;Cornell University;Cornell University;BS;Bachelor;Life Sciences and Economics;Economics;;;;;;;;;;;;;;;;;;;Cornell University;Cornell University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
46113;University of Tulsa;University of Tulsa;B.S;Bachelor;Petroleum Engineering ;Engineering;;;;;.;.;;;;;;;;;;;.;.;;;;;;;;;;;;;.;.;;;;;.;.;;;;
45601;Boston University;Boston University;BA;Bachelor;;;;;;;;;Columbia University;Columbia University;MA;Master;;;;;;;;;Leonard N Stern School of Business, New York University;New York University;MBA (Distinction);MBA;;;;;;;;;;;;;;;;;;;;
41385;Brown University;Brown University;BS;Bachelor;Electrical Engineering;Engineering;;;;;.;.;University of California at Berkeley;University of California at Berkeley;MS;Master;Electrical Engineering;Engineering;;;;;.;.;University of Oregon;University of Oregon;MBA;MBA;;;;;;;;;.;.;;;;;.;.;;;;
47119;Stanford University;Stanford University;BA;Bachelor;Quantitative Economics;Economics;;;;;;;;;;;;;;;;;;;Harvard Business School;Harvard University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
46084;University of Georgia (UGA);University of Georgia;BA;Bachelor;English;Other;;;;;.;.;University of Georgia (UGA);University of Georgia;MA;Master;Linguistics;Other;;;;;.;.;Harvard Business School;Harvard University;MBA;MBA;;;;;;;;;.;.;;;;;.;.;;;;
41097;Monash University;Monash University;BA;Bachelor;English Literature;other;;;;;;;American University;American University;MA;Master;Economic Communications;Economics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42772;University of California, Davis;University of California at Davis;BS;Bachelor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unknown Organisation;Unknown Organisation;PhD;PhD;;;;;;;;;;;;
41418;Cooper Union;Cooper Union;BS;Bachelor;Electrical Engineering ;Engineering;;;;;.;.;;;;;.;.;;;;;.;.;;;;;;;;;;;;;.;.;;;;;.;.;;;;
41312;University of Southern California;University of Southern California;AB;Bachelor;Economics;Economics;;;;;;;Harvard University Kennedy School of Government;Harvard University;Master;Master;Public Policy;Other;;;;;;;;;;;;;;;Harvard University;Harvard University;PhD;PhD;Economics/Philosophy;Economics;;;;;;;;;;
43839;University of lowa;University of lowa;BA;Bachelor;;;;;;;;;Fletcher School;Tufts University;MA;Master;;;;;;;;;University of Minnesota;University of Minnesota;Executive Education Program;MBA;;;;;;;;;;;;;;;;;Harvard Law School;Harvard University;JD;JD
10875;Dartmouth College;Dartmouth College;BA;Bachelor;Economics;Economics;;;;;;;;;;;;;;;;;;;Kellogg School of Management, Northwestern University;Northwestern University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
41394;University of Alabama (UA);University of Alabama;Bachelor's Degree;Bachelor;business management;Other Business Administration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41417;University of Connecticut;University of Connecticut;BS;Bachelor;Mechanical Engineering;Engineering;;;;;;;;;;;;;;;;;;;University of Bridgeport;University of Bridgeport;MBA;MBA;;;;;;;;;;;;;;;;;;;;
43080;University of California, Davis;University of California at Davis;BA (Hons);Bachelor;nternational Relations and Economics;Economics;;;;;;;;;;;;;;;;;;;Harvard Business School;Harvard University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
41419;Old Dominion University;Old Dominion University;BS;Bachelor;Electro-Mechanical Engineering;Engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40450;McGill University (Canada);McGill University;BS (Hons);Bachelor;Engineering;Engineering;;;;;;;;;;;;;;;;;;;University of South Florida (USF);University of South Florida;MBA;MBA;;;;;;;;;;;;;;;;;;;;
43068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43090;Georgia Institute of Technology (GIT);Georgia Institute of Technology;BSEE;Bachelor;Electrical Engineering;Engineering;;;;;.;.;Georgia Institute of Technology (GIT);Georgia Institute of Technology;MS;Master;Electrical Engineering;Engineering;;;;;.;.;University of Chicago;University of Chicago;MBA;MBA;;;;;;;;;.;.;;;;;.;.;;;;
20319;University of Minnesota;University of Minnesota;BA;Bachelor;.;.;;;;;.;.;University of Minnesota;University of Minnesota;MD;Master;.;.;;;;;.;.;Haas School of Business, University of California, Berkeley;University of California at Berkeley;MBA;MBA;;;;;Unknown Organisation;Unknown Organisation;PhD;PhD;.;.;;;;;.;.;;;;
