47163;Dartmouth College;Dartmouth College;AB;Bachelor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41288;;;;;;;;;Oxford University;;Master;Master;;;;;Stanford;;MBA;MBA;;;;;University of Sussex;;PhD;PhD;;;;;;;;;;;;
12717;University of Western Ontario;University of Western Ontario;BA (Hons);Bachelor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4499;;;;;;;;;;;;;;;;;London Business School;;MBA;MBA;;;;;;;;;;;;;;;;;University of Cambridge;;Other;Other
40475;;;;;;;;;;;;;;;;;London Business School;;MBA;MBA;;;;;;;;;;;;;;;;;University of Cambridge;;Other;Other
41058;;;;;;;;;Kungliga Tekniska H_gskolan (KTH Royal Institute of Technology);Kungliga Tekniska Hogskolan;MSc;Master;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42764;University of California, Irvine;University of California, Irvine;BS;Bachelor;;;;;;;;;;;;;Harvard Business School;Harvard Business School;MBA;MBA;;;;;;;;;;;;;;;;;;;;
40483;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22656;Princeton University;Princeton University;BSE;Bachelor;;;;;University of Pennsylvania;University of Pennsylvania;MSE;Master;;;;;;;;;;;;;University of Pennsylvania;University of Pennsylvania;PhD;PhD;;;;;;;;;;;;
43321;University of Michigan;;Bachelor;Bachelor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40466;Harvard University;Harvard University;AB;Bachelor;;;;;;;;;;;;;Stanford University, Graduate School of Business;Stanford University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
47152;University of Washington;;Bachelor;Bachelor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47198;University of Michigan;University of Michigan;BS;Bachelor;;;;;Stanford University School of Medicine;Stanford University;MD;Master;;;;;;;;;;;;;Stanford University School of Medicine;Stanford University;PhD;PhD;;;;;;;;;;;;
42774;Stanford;;Bachelor;Bachelor;;;;;Stanford;;Master;Master;;;;;;;;;;;;;Stanford;;PhD;PhD;;;;;;;;;;;;
47116;University of Virginia;University of Virginia;BS;Bachelor;;;;;;;;;;;;;Stanford University, Graduate School of Business;Stanford University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
43862;Reed College;Reed College;BA;Bachelor;;;;;;;;;;;;;;;;;;;;;Massachusetts Institute of Technology (MIT);Massachusetts Institute of Technology;PhD;PhD;;;;;;;;;;;;
41101;University of Chicago;University of Chicago;BA;Bachelor;;;;;University of California, San Francisco (UCSF);University of San Francisco;MD;Master;;;;;;;;;;;;;University of California, San Francisco (UCSF);University of San Francisco;PhD;PhD;;;;;;;;;;;;
43103;;;;;;;;;_cole Polytechnique - Paris;Ecole Polytechnique - Paris;Graduated;Master;_cole Nationale du G¨¦nie Rural des Eaux et des For¨ºts;Ecole Nationale du Genie Rural des Eaux et des For¨ºts;Graduated;Master;;;;;;;;;;;;;;;;;;;;;;;;
40490;;;;;;;;;Katholieke Universiteit Leuven (KUL) (Catholic University of Leuven);Catholic University of Leuven;MS;Master;Katholieke Universiteit Leuven (KUL) (Catholic University of Leuven);Catholic University of Leuven;Degree;Master;;;;;;;;;Katholieke Universiteit Leuven (KUL) (Catholic University of Leuven);Catholic University of Leuven;PhD;PhD;;;;;;;;;;;;
43046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42763;Unknown Organisation;other;Baccalaureate;Bachelor;;;;;_cole superieure d'electricite (ESE) (SUPELEC);Ecole Superieure d'Electricite;MS;Master;;;;;;;;;;;;;Universit¨¦ de Paris (University of Paris);University of Paris 1;PhD;PhD;;;;;;;;;;;;
43790;;;;;;;;;Universiteit Leiden (University of Leiden);University of Leiden;MSc;Master;Universiteit Leiden (University of Leiden);University of Leiden;Degree;Master;;;;;;;;;;;;;;;;;;;;;;;;
41348;;;;;;;;;;;;;;;;;;;;;;;;;University of Reading;;PhD;PhD;;;;;;;;;;;;
